af 	365 	275 	38
bg 	631 	19 	28
cs 	551 	77 	50
de 	649 	21 	8
en_GB 	634 	17 	27
es 	573 	51 	54
fi 	650 	10 	18
fr 	678 	0 	0
hu 	9 	463 	206
it 	573 	54 	51
ko 	678 	0 	0
nl 	650 	10 	18
nn_NO 	678 	0 	0
no 	104 	293 	281
pl 	562 	87 	29
pt_br 	603 	44 	31
ro 	634 	17 	27
ru 	628 	22 	28
sk 	563 	65 	50
ua 	541 	91 	46
